nominal_injection_rate,seed,model,precision,recall,f1,fpr,fnr,alert_rate,tp,fp,fn,tn,ap,auc_roc,recall_delay,n_test_delay,recall_repeat,n_test_repeat,recall_volume,n_test_volume,recall_timestamp,n_test_timestamp
0.05,201,IF,0.14027149321266968,0.8378378378378378,0.24031007751937986,0.9693877551020408,0.16216216216216217,0.9484978540772532,31,190,6,6,0.15436250472455704,0.37844732487589633,1.0,2,0.7272727272727273,11,0.8695652173913043,23,1.0,1.0
0.05,201,OCSVM,0.16299559471365638,1.0,0.2803030303030303,0.9693877551020408,0.0,0.9742489270386266,37,190,0,6,0.21630416596033147,0.5127551020408163,1.0,2,1.0,11,1.0,23,1.0,1.0
0.05,201,RF,0.71875,0.6216216216216216,0.6666666666666666,0.04591836734693878,0.3783783783783784,0.13733905579399142,23,9,14,187,0.598378069116603,0.8642443463872035,0.5,2,0.09090909090909091,11,0.9130434782608695,23,0.0,1.0
0.05,201,Rule60s,0.23076923076923078,0.08108108108108109,0.12,0.05102040816326531,0.918918918918919,0.055793991416309016,3,10,34,186,,,1.0,2,0.0,11,0.0,23,1.0,1.0
0.05,202,IF,0.18614718614718614,0.9555555555555556,0.3115942028985507,0.9591836734693877,0.044444444444444446,0.9585062240663901,43,188,2,8,0.3035986003249692,0.5968253968253969,1.0,7,1.0,6,0.9375,32,,
0.05,202,OCSVM,0.2727272727272727,0.6,0.375,0.3673469387755102,0.4,0.4107883817427386,27,72,18,124,0.41381341647772035,0.6622448979591836,1.0,7,0.5,6,0.53125,32,,
0.05,202,RF,0.7045454545454546,0.6888888888888889,0.6966292134831461,0.0663265306122449,0.3111111111111111,0.1825726141078838,31,13,14,183,0.7112630652349644,0.86218820861678,0.14285714285714285,7,0.3333333333333333,6,0.875,32,,
0.05,202,Rule60s,0.30434782608695654,0.15555555555555556,0.20588235294117646,0.08163265306122448,0.8444444444444444,0.0954356846473029,7,16,38,180,,,1.0,7,0.0,6,0.0,32,,
0.05,203,IF,0.1859504132231405,1.0,0.313588850174216,1.0,0.0,1.0,45,197,0,0,0.17114386043811788,0.42120699379582627,1.0,1,1.0,9,1.0,34,1.0,1.0
0.05,203,OCSVM,0.1906779661016949,1.0,0.3202846975088968,0.9695431472081218,0.0,0.9752066115702479,45,191,0,6,0.21050575595422052,0.4861816130851664,1.0,1,1.0,9,1.0,34,1.0,1.0
0.05,203,RF,0.8837209302325582,0.8444444444444444,0.8636363636363636,0.025380710659898477,0.15555555555555556,0.17768595041322313,38,5,7,192,0.8902262817319258,0.9514382402707274,1.0,1,0.3333333333333333,9,1.0,34,0.0,1.0
0.05,203,Rule60s,0.08333333333333333,0.022222222222222223,0.03508771929824561,0.05583756345177665,0.9777777777777777,0.049586776859504134,1,11,44,186,,,1.0,1,0.0,9,0.0,34,0.0,1.0
0.05,204,IF,0.16230366492146597,0.9117647058823529,0.27555555555555555,0.8163265306122449,0.08823529411764706,0.8304347826086956,31,160,3,36,0.23857847262666904,0.5445678271308523,1.0,3,0.8181818181818182,11,0.9473684210526315,19,1.0,1.0
0.05,204,OCSVM,0.15577889447236182,0.9117647058823529,0.26609442060085836,0.8571428571428571,0.08823529411764706,0.8652173913043478,31,168,3,28,0.21559656952165301,0.46773709483793513,1.0,3,0.9090909090909091,11,0.8947368421052632,19,1.0,1.0
0.05,204,RF,0.7878787878787878,0.7647058823529411,0.7761194029850746,0.03571428571428571,0.23529411764705882,0.14347826086956522,26,7,8,189,0.7287949175907414,0.9074879951980792,0.6666666666666666,3,0.45454545454545453,11,1.0,19,0.0,1.0
0.05,204,Rule60s,0.23076923076923078,0.08823529411764706,0.1276595744680851,0.05102040816326531,0.9117647058823529,0.05652173913043478,3,10,31,186,,,1.0,3,0.0,11,0.0,19,0.0,1.0
0.05,205,IF,0.12582781456953643,0.6129032258064516,0.2087912087912088,0.676923076923077,0.3870967741935484,0.668141592920354,19,132,12,63,0.1728078470901891,0.44416873449131516,1.0,4,1.0,3,0.45454545454545453,22,1.0,2.0
0.05,205,OCSVM,0.13963963963963963,1.0,0.2450592885375494,0.9794871794871794,0.0,0.9823008849557522,31,191,0,4,0.2870297752323322,0.56575682382134,1.0,4,1.0,3,1.0,22,1.0,2.0
0.05,205,RF,0.6842105263157895,0.8387096774193549,0.7536231884057971,0.06153846153846154,0.16129032258064516,0.168141592920354,26,12,5,183,0.7964241383591347,0.9025641025641025,1.0,4,0.3333333333333333,3,0.9545454545454546,22,0.0,2.0
0.05,205,Rule60s,0.35714285714285715,0.16129032258064516,0.2222222222222222,0.046153846153846156,0.8387096774193549,0.061946902654867256,5,9,26,186,,,1.0,4,0.3333333333333333,3,0.0,22,0.0,2.0
0.05,206,IF,0.125,0.1875,0.15,0.2153846153846154,0.8125,0.21145374449339208,6,42,26,153,0.14193570411602774,0.40328525641025637,1.0,1,0.4166666666666667,12,0.0,18,0.0,1.0
0.05,206,OCSVM,0.14204545454545456,0.78125,0.2403846153846154,0.7743589743589744,0.21875,0.775330396475771,25,151,7,44,0.1553272424588109,0.43870192307692313,1.0,1,0.75,12,0.7777777777777778,18,1.0,1.0
0.05,206,RF,0.6176470588235294,0.65625,0.6363636363636364,0.06666666666666667,0.34375,0.14977973568281938,21,13,11,182,0.6133793112589591,0.859375,1.0,1,0.25,12,0.9444444444444444,18,0.0,1.0
0.05,206,Rule60s,0.2,0.09375,0.1276595744680851,0.06153846153846154,0.90625,0.06607929515418502,3,12,29,183,,,1.0,1,0.08333333333333333,12,0.05555555555555555,18,0.0,1.0
0.05,207,IF,0.16055045871559634,0.9722222222222222,0.2755905511811024,0.9289340101522843,0.027777777777777776,0.9356223175965666,35,183,1,14,0.16871058940362804,0.4435984207557812,1.0,2,1.0,8,0.9615384615384616,26,,
0.05,207,OCSVM,0.15121951219512195,0.8611111111111112,0.2572614107883817,0.883248730964467,0.1388888888888889,0.8798283261802575,31,174,5,23,0.2216043137384654,0.5258037225042301,1.0,2,1.0,8,0.8076923076923077,26,,
0.05,207,RF,1.0,0.6666666666666666,0.8,0.0,0.3333333333333333,0.10300429184549356,24,0,12,197,0.833792444654685,0.9268894529046814,0.0,2,0.375,8,0.8076923076923077,26,,
0.05,207,Rule60s,0.2222222222222222,0.05555555555555555,0.08888888888888889,0.03553299492385787,0.9444444444444444,0.03862660944206009,2,7,34,190,,,1.0,2,0.0,8,0.0,26,,
0.05,208,IF,0.1388888888888889,0.7407407407407407,0.23391812865497075,0.6391752577319587,0.25925925925925924,0.6515837104072398,20,124,7,70,0.4118615259457526,0.6385070637647957,1.0,7,0.6666666666666666,9,0.7,10,0.0,1.0
