seed,model,precision,recall,f1,fpr,fnr,specificity,alert_rate,alerts_per_hour,tp,fp,fn,tn,ap,auc_roc,threshold
101,IF,0.6803394625176803,0.6938106477838972,0.6870090242160618,0.3341847022449254,0.30618935221610283,0.6658152977550746,0.51622967142383,34.695817372693895,5291,2486,2335,4953,0.6684626069790867,0.6915291842839464,0.4479951596099643
101,IF_budget_top10pct,0.6762967826657912,0.13506425386834514,0.2251612198054432,0.06627234843392929,0.8649357461316549,0.9337276515660707,0.10109525389976767,6.794616157723132,1030,493,6596,6946,,,0.5642337370555357
101,IF_budget_top20pct,0.7078799868117376,0.2815368476265408,0.4028520499108734,0.1191020298427208,0.7184631523734593,0.8808979701572792,0.20132758048456686,13.531234935242455,2147,886,5479,6553,,,0.5193159365100922
101,RF,0.6817558299039781,0.7820613690007868,0.728471967753756,0.374243849979836,0.2179386309992132,0.625756150020164,0.5806837039495519,39.02777554022453,5964,2784,1662,4655,0.8413061099211148,0.8088876864641227,0.34464694033285964
102,IF,0.6861902902512039,0.6913191712562287,0.6887451825723431,0.32410270197607205,0.3086808287437713,0.675897298023928,0.5099900431463658,34.3190244338232,5272,2411,2354,5028,0.682786665818206,0.7013607871162771,0.4480569581771207
102,IF_budget_top10pct,0.7121010638297872,0.14044059795436664,0.23461117196056955,0.05820674821884662,0.8595594020456334,0.9417932517811534,0.09983405243942914,6.718184660740608,1071,433,6555,7006,,,0.5609217533590294
102,IF_budget_top20pct,0.7234185733512786,0.2819302386572253,0.4057369314965088,0.11049872294663261,0.7180697613427747,0.8895012770533673,0.1972784600066379,13.275561709920936,2150,822,5476,6617,,,0.5208342476114376
102,RF,0.7116198059218711,0.7500655651717808,0.7303370786516854,0.31160102164269393,0.24993443482821925,0.6883989783573061,0.5335545967474278,35.90476615893152,5720,2318,1906,5121,0.8414414433542439,0.8094471630032138,0.3483384252594094
103,IF,0.6283243953157491,0.7528193023865722,0.6849609258485951,0.45651297217367925,0.24718069761342776,0.5434870278263207,0.6065051443743777,40.81386518961897,5741,3396,1885,4043,0.6607954118374818,0.6858463523254279,0.43234515537590507
103,IF_budget_top10pct,0.6509621765096217,0.12863886703383162,0.21482535858972956,0.07070842855222476,0.8713611329661684,0.9292915714477752,0.10003318951211417,6.7315852950372985,981,526,6645,6913,,,0.5669502381418844
103,IF_budget_top20pct,0.6983865656898255,0.2781274586939418,0.3978242520866548,0.12313482995026213,0.7218725413060583,0.8768651700497379,0.20159309658148025,13.56590878634922,2121,916,5505,6523,,,0.5232392012652908
103,RF,0.7158490566037736,0.7462627852084972,0.7307395993836672,0.3036698480978626,0.25373721479150274,0.6963301519021374,0.5277132426153336,35.51168088622861,5691,2259,1935,5180,0.8418616257598205,0.808833905219573,0.3623185475836055
104,IF,0.6821063526976323,0.6913191712562287,0.686681862585477,0.3302863288076354,0.3086808287437713,0.6697136711923646,0.5130434782608696,34.47740055239377,5272,2457,2354,4982,0.6696718828727573,0.6956719706502121,0.446096267503384
104,IF_budget_top10pct,0.659919028340081,0.12824547600314712,0.2147562582345191,0.06775104180669445,0.8717545239968528,0.9322489581933056,0.09837371390640558,6.6108820828888035,978,504,6648,6935,,,0.5634366531281901
104,IF_budget_top20pct,0.7187915006640107,0.28389719381064776,0.4070313968791126,0.11385938970291706,0.7161028061893522,0.8861406102970829,0.19993362097577166,13.435881804089796,2165,847,5461,6592,,,0.5235410756579704
104,RF,0.7437894454142607,0.7263309729871492,0.7349565448152325,0.256486086839629,0.2736690270128508,0.743513913160371,0.4943245934284766,33.219459427309666,5539,1908,2087,5531,0.8415850980362165,0.8127061460134524,0.37355054372653673
105,IF,0.6415375788869765,0.7331497508523472,0.6842910470595435,0.41994891786530447,0.26685024914765276,0.5800510821346955,0.5784931961500166,38.96781373350258,5591,3124,2035,4315,0.6661116459462851,0.6948390840837236,0.43716161731879166
105,IF_budget_top10pct,0.6713804713804714,0.13073695253081563,0.21885632751618922,0.0656002150826724,0.8692630474691844,0.9343997849173276,0.0985728509790906,6.6399544915951045,997,488,6629,6951,,,0.5632782276569881
105,IF_budget_top20pct,0.71485279523652,0.2833726724364018,0.40585970513663255,0.11587578975668773,0.7166273275635983,0.8841242102433122,0.20066379024228345,13.516890523967676,2161,862,5465,6577,,,0.5231327266901907
105,RF,0.7397150845426708,0.7285601888276947,0.7340952632622052,0.2628041403414437,0.27143981117230526,0.7371958596585563,0.4985728509790906,33.58430854301066,5556,1955,2070,5484,0.8444254704505689,0.8136239438401826,0.3744892160127153
106,IF,0.6792452830188679,0.6986624704956726,0.6888170652876535,0.3382175023524667,0.3013375295043273,0.6617824976475333,0.5206770660471292,35.05228349271606,5328,2516,2298,4923,0.6758579227517448,0.7029948044603143,0.44798218666260553
106,IF_budget_top10pct,0.6759259259259259,0.13401521111985312,0.22368133070693805,0.06586906842317516,0.8659847888801468,0.9341309315768248,0.10036508463325589,6.756635981767808,1022,490,6604,6949,,,0.565337381051849
106,IF_budget_top20pct,0.7275123558484349,0.2895357985837923,0.4142200544039021,0.1111708562978895,0.7104642014162077,0.8888291437021105,0.20146033853302356,13.562427384037894,2208,827,5418,6612,,,0.5248667656559046
106,RF,0.7512134239356538,0.7103330710726462,0.7302015232189796,0.2411614464309719,0.2896669289273538,0.7588385535690281,0.47865914371058743,32.22361247653946,5417,1794,2209,5645,0.8402695655070508,0.804930014401246,0.3897601649718153
107,IF,0.6457343290337181,0.7483608707054813,0.6932701652089407,0.4208899045570641,0.25163912929451876,0.5791100954429359,0.5866578161301029,39.52942579660053,5707,3131,1919,4308,0.6829428377936372,0.7040680584639324,0.43255334192818323
107,IF_budget_top10pct,0.6975920679886686,0.12916338840807762,0.2179685771188316,0.05740018819733835,0.8708366115919224,0.9425998118026616,0.0937271822104215,6.315404981307982,985,427,6641,7012,,,0.5703601327948309
107,IF_budget_top20pct,0.7333107421213149,0.28376606346708627,0.40918975134726293,0.10579378948783438,0.7162339365329137,0.8942062105121656,0.19588450049784267,13.198838597620293,2164,787,5462,6652,,,0.5252592800244963
107,RF,0.6985594237695077,0.7630474691843693,0.7293807971922788,0.33754536900120985,0.23695253081563072,0.6624546309987902,0.5529372718221042,37.25731125658321,5819,2511,1807,4928,0.8418606402420554,0.8089242809786048,0.3468011133918829
108,IF,0.6601092896174864,0.7128245476003147,0.6854548893512389,0.3762602500336067,0.2871754523996853,0.6237397499663934,0.5466312645204116,36.78538015033788,5436,2799,2190,4640,0.6676367559072968,0.6924896757109056,0.4330805236204451
108,IF_budget_top10pct,0.651819322459222,0.13624442696039862,0.22537960954446853,0.07460680198951472,0.8637555730396014,0.9253931980104853,0.10580816461998009,7.120327378219621,1039,555,6587,6884,,,0.5660680873713434
108,IF_budget_top20pct,0.7269768955418158,0.2929451875163913,0.417609122347883,0.11278397634090603,0.7070548124836087,0.8872160236590939,0.20398274145370063,13.72695485148613,2234,839,5392,6600,,,0.5167083218344527
108,RF,0.7362945178071229,0.7238394964594808,0.7300138861337037,0.26576152708697404,0.2761605035405193,0.7342384729130259,0.4976435446398938,33.48876684724749,5520,1977,2106,5462,0.8407701274131306,0.8066376702733418,0.37606756121356566
109,IF,0.6707271128971494,0.7003671649619722,0.6852267624607095,0.3524667293991128,0.2996328350380278,0.6475332706008872,0.528576169930302,35.56732304615335,5341,2622,2285,4817,0.6785181465886537,0.701571893043753,0.44575985126012174
109,IF_budget_top10pct,0.6693017127799736,0.13322842905848414,0.2222222222222222,0.0674821884661917,0.8667715709415159,0.9325178115338083,0.10076335877862595,6.780258242378599,1016,502,6610,6937,,,0.5676133240808944
109,IF_budget_top20pct,0.73278955954323,0.2945187516391293,0.4201664951828641,0.11009544293587847,0.7054812483608707,0.8899045570641215,0.20345170925987388,13.690047109940979,2246,819,5380,6620,,,0.5234546522453224
109,RF,0.7315436241610739,0.7289535798583793,0.7302463054187193,0.27423040731281084,0.2710464201416208,0.7257695926871891,0.5044142051111848,33.941490371432785,5559,2040,2067,5399,0.841293980099365,0.808587905823206,0.3702284956042844
110,IF,0.6815952503871967,0.6924993443482822,0.68700403278262,0.33163059551014923,0.3075006556517178,0.6683694044898508,0.5143046797212081,34.56314048153059,5281,2467,2345,4972,0.6634299851142977,0.6934106464724175,0.4463552577118479
110,IF_budget_top10pct,0.6347424042272127,0.12601626016260162,0.2102844638949672,0.07433794864901197,0.8739837398373984,0.925662051350988,0.10049784268171258,6.75381965527069,961,553,6665,6886,,,0.5705863324323202
110,IF_budget_top20pct,0.7211413748378729,0.2916338840807763,0.41531279178338004,0.11560693641618497,0.7083661159192237,0.884393063583815,0.20471291072021242,13.757450341383626,2224,860,5402,6579,,,0.5159303321274153
110,RF,0.7571248069633582,0.7071859428271702,0.7313038172079463,0.23255813953488372,0.29281405717282977,0.7674418604651163,0.4728177895784932,31.775070940880532,5393,1730,2233,5709,0.8371407371427917,0.8081734324036387,0.3851983156787614
