seed,model,prevalence_target,precision,recall,f1,fpr,fnr,specificity,alert_rate,alerts_per_hour,tp,fp,fn,tn,ap,auc_roc,threshold
101,IF,0.01,0.7272727272727273,0.5333333333333333,0.6153846153846154,0.0020161290322580645,0.4666666666666667,0.9979838709677419,0.007318695941450432,0.24571793070754355,40,15,35,7425,0.553768300807574,0.9328870967741936,0.6269446888943434
101,RF,0.01,0.8152173913043478,1.0,0.8982035928143712,0.00228494623655914,0.0,0.9977150537634408,0.012242182302062542,0.4110190840926183,75,17,0,7423,1.0,1.0,0.0171731605351215
102,IF,0.01,0.975,0.52,0.6782608695652174,0.00013440860215053763,0.48,0.9998655913978495,0.0053226879574184965,0.17875807825134876,39,1,36,7439,0.6256593597362604,0.9443387096774194,0.6508211717031884
102,RF,0.01,1.0,0.84,0.9130434782608695,0.0,0.16,1.0,0.008383233532934131,0.28154397324587427,63,0,12,7440,1.0,1.0,0.9267120401337797
103,IF,0.01,1.0,0.5066666666666667,0.672566371681416,0.0,0.49333333333333335,1.0,0.0050565535595475716,0.1695066464448211,38,0,37,7440,0.5836272289120591,0.9411666666666667,0.6504516249291615
103,RF,0.01,1.0,0.8,0.8888888888888888,0.0,0.2,1.0,0.007984031936127744,0.2676420733339281,60,0,15,7440,0.9999999999999999,1.0,0.9409240802675595
104,IF,0.01,1.0,0.4,0.5714285714285714,0.0,0.6,1.0,0.003992015968063872,0.1340304571803715,30,0,45,7440,0.581476849061858,0.9417132616487456,0.6624207681797035
104,RF,0.01,1.0,0.7333333333333333,0.8461538461538461,0.0,0.26666666666666666,1.0,0.007318695941450432,0.24572250483068106,55,0,20,7440,1.0,1.0,0.9309240802675595
105,IF,0.01,0.9393939393939394,0.41333333333333333,0.5740740740740741,0.00026881720430107527,0.5866666666666667,0.999731182795699,0.004391217564870259,0.14738722644037516,31,2,44,7438,0.49198963859624156,0.9222688172043011,0.6454312649482673
105,RF,0.01,1.0,0.8666666666666667,0.9285714285714286,0.0,0.13333333333333333,1.0,0.008649367930805056,0.29030817329164804,65,0,10,7440,1.0000000000000002,1.0,0.9267120401337797
101,IF,0.02,0.8148148148148148,0.5789473684210527,0.676923076923077,0.0026885334050275574,0.42105263157894735,0.9973114665949725,0.014227374522460808,0.48178378961116525,88,20,64,7419,0.6388626605350675,0.9309458154392569,0.6251128402485614
101,RF,0.02,0.9440993788819876,1.0,0.9712460063897763,0.0012098400322624009,0.0,0.9987901599677376,0.021209326834409167,0.7182147234018297,152,9,0,7430,1.0,1.0,0.025
102,IF,0.02,0.7863247863247863,0.6052631578947368,0.6840148698884758,0.003360666756284447,0.39473684210526316,0.9966393332437156,0.01541298906599921,0.5219020430011597,92,25,60,7414,0.663991473195695,0.9421222433688738,0.6160346783476779
102,RF,0.02,0.9440993788819876,1.0,0.9712460063897763,0.0012098400322624009,0.0,0.9987901599677376,0.021209326834409167,0.7181728967793737,152,9,0,7430,1.0,1.0,0.012576923076924231
103,IF,0.02,0.9210526315789473,0.4605263157894737,0.6140350877192983,0.0008065600215082673,0.5394736842105263,0.9991934399784917,0.010011856145435384,0.3390132928896422,70,6,82,7433,0.5544138361602754,0.9214567959756901,0.6276096724409916
103,RF,0.02,0.9805194805194806,0.993421052631579,0.9869281045751634,0.00040328001075413364,0.006578947368421052,0.9995967199892458,0.020287182189434858,0.6869479882237488,151,3,1,7436,0.9935527875808612,0.9966658648233704,0.017653846153848463
104,IF,0.02,0.90625,0.5723684210526315,0.7016129032258065,0.0012098400322624009,0.4276315789473684,0.9987901599677376,0.012646555131076275,0.42822731733428493,87,9,65,7430,0.6548530821744182,0.943818495694809,0.6300824940127652
104,RF,0.02,0.9325153374233128,1.0,0.9650793650793651,0.0014786933727651565,0.0,0.9985213066272348,0.021472796732973257,0.727094299223838,152,11,0,7428,1.0,1.0,0.015076923076924232
105,IF,0.02,0.9,0.5921052631578947,0.7142857142857143,0.0013442667025137787,0.40789473684210525,0.9986557332974862,0.013173494928204453,0.4466196475426615,90,10,62,7429,0.679950259858289,0.9408124677199114,0.6255866070789393
105,RF,0.02,0.8994082840236687,1.0,0.9470404984423676,0.002285253394273424,0.0,0.9977147466057266,0.022263206428665524,0.7547872043470979,152,17,0,7422,1.0,1.0,0.015
101,IF,0.05,0.7467105263157895,0.5790816326530612,0.6522988505747126,0.010350853609356097,0.42091836734693877,0.9896491463906439,0.03882007406461499,1.3581500170016954,227,77,165,7362,0.6742496161670959,0.9335704203714017,0.5996457303457697
101,RF,0.05,0.9631449631449631,1.0,0.981226533166458,0.0020164000537706683,0.0,0.9979835999462293,0.05197292810624441,1.8183126872358222,392,15,0,7424,1.0,1.0,0.02
102,IF,0.05,0.8642533936651584,0.4884910485933504,0.6241830065359477,0.004032258064516129,0.5115089514066496,0.9959677419354839,0.02822117226407866,0.9858149701133018,191,30,200,7410,0.6057178421795603,0.9083869592717873,0.6057868186928892
102,RF,0.05,0.9799498746867168,1.0,0.9898734177215189,0.001075268817204301,0.0,0.9989247311827957,0.05095134720980718,1.7798197876706219,391,8,0,7432,1.0,1.0,0.031136287625417935
103,IF,0.05,0.8701298701298701,0.5127551020408163,0.6452648475120385,0.0040328001075413365,0.4872448979591837,0.9959671998924586,0.02949814838462521,1.0317605065006124,201,30,191,7409,0.6324471745390037,0.9168444162178919,0.6069231474701275
103,RF,0.05,0.9536585365853658,0.9974489795918368,0.9750623441396509,0.0025541067347761796,0.002551020408163265,0.9974458932652238,0.05235602094240838,1.8312632366461086,391,19,1,7420,0.999671201814059,0.9999826822784498,0.014318143812708968
104,IF,0.05,0.7715355805243446,0.5255102040816326,0.6251896813353566,0.00820002688533405,0.4744897959183674,0.991799973114666,0.03409526241859277,1.1926742108397856,206,61,186,7378,0.628859501511532,0.9191701347833124,0.6057020377050577
104,RF,0.05,0.9702970297029703,1.0,0.9849246231155779,0.0016131200430165346,0.0,0.9983868799569835,0.05158983527008045,1.8046456223942822,392,12,0,7427,1.0,1.0,0.01681814381270897
105,IF,0.05,0.7655677655677655,0.5345268542199488,0.6295180722891566,0.008602150537634409,0.46547314578005117,0.9913978494623656,0.0348614480909207,1.2192716377914659,209,64,182,7376,0.6409094125605049,0.9224551742155488,0.5997111232884826
105,RF,0.05,0.9678217821782178,1.0,0.9836477987421384,0.0017473118279569893,0.0,0.998252688172043,0.05158983527008045,1.8043433760723524,391,13,0,7427,1.0,1.0,0.01681814381270897
101,IF,0.1,0.6196990424076607,0.5477629987908101,0.5815147625160462,0.03737061432988305,0.45223700120918986,0.9626293856701169,0.08843455117348173,3.2654580649964635,453,278,374,7161,0.6183426912308293,0.8998672475676006,0.5684232229991264
101,RF,0.1,0.9963855421686747,1.0,0.9981894990947495,0.00040328001075413364,0.0,0.9995967199892458,0.10041132349383015,3.707702043703235,827,3,0,7436,1.0,1.0,0.03538628762541521
102,IF,0.1,0.7213403880070547,0.49515738498789347,0.5872218234027279,0.021236559139784946,0.5048426150121066,0.978763440860215,0.06859424147108638,2.532333401566891,409,158,417,7282,0.6516061654434714,0.8968103178942435,0.5743513897555086
102,RF,0.1,0.9987908101571947,1.0,0.999395039322444,0.00013440860215053763,0.0,0.9998655913978495,0.10004839099927414,3.6935444851778105,826,1,0,7439,1.0,1.0,0.053079431438122805
103,IF,0.1,0.7084078711985689,0.4788391777509069,0.5714285714285714,0.021911547250974592,0.5211608222490931,0.9780884527490254,0.06762642148560367,2.4935783295106893,396,163,431,7276,0.6278848478719748,0.8913066906283154,0.5819170189609862
103,RF,0.1,0.9951865222623345,1.0,0.9975874547647768,0.0005377066810055115,0.0,0.9994622933189945,0.10053230099201549,3.7069116132797544,827,4,0,7435,1.0,1.0,0.0451931438127076
